url,story_id,score,response
https://www.reuters.com/world/americas/brazil-military-no-obstacle-third-lula-term-say-ex-generals-analysts-2022-02-01/,10577267,66,"{'site_meta': {'name': 'Reuters', 'cred': 'VERY_HIGH', 'bias': 'CENTER'}, 'quality': {'quality_sources_score': 0, 'unique_link_score': 0.125, 'self_promotion_score': 1, 'diversity_sources_score': 0.2, 'political_sources_score': 0, 'quotes_count': 9, 'quotes_score': 1, 'sources_score': 0.275, 'topic': 'world', 'source_credibility_score': 1, 'author_history_score': 0.71, 'unique_links': [{'cred': None, 'hostname': 'thomsonreuters.com', 'bias': None, 'name': 'thomsonreuters.com', 'title': 'The Thomson Reuters Trust Principles.', 'url': 'https://www.thomsonreuters.com/en/about-us/trust-principles.html'}], 'self_citations': [], 'unique_sources': ['thomsonreuters.com'], 'overall_quality': 'medium', 'author_expertise': 'world', 'opinion_score': 0.85, 'multiple_sources': False}, 'read_time': 3, 'authors': ['Anthony Boadle'], 'authors_data': [{'name': 'Anthony Boadle', 'twitter_handle': None, 'score': 62, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.reuters.com/world/americas/brazil-military-no-obstacle-third-lula-term-say-ex-generals-analysts-2022-02-01', 'story_id': 10577267, 'title': 'Analysis: Brazil military no obstacle to third Lula term, say ex-generals, analysts', 'score': 66}"
https://apnews.com/article/coronavirus-pandemic-moderna-vaccine-approved-dc6f5ac9eeb31667d5a28f0954335b65,10572616,59,"{'site_meta': {'name': 'Associated Press', 'cred': 'VERY_HIGH', 'bias': 'CENTER'}, 'quality': {'quality_sources_score': 0, 'unique_link_score': 0, 'self_promotion_score': 0, 'diversity_sources_score': 0, 'political_sources_score': 0, 'quotes_count': 0, 'quotes_score': 0, 'sources_score': 0, 'topic': 'health', 'source_credibility_score': 1, 'author_history_score': 0.74, 'unique_links': [], 'self_citations': [], 'unique_sources': [], 'overall_quality': 'medium', 'author_expertise': 'health', 'opinion_score': 1, 'multiple_sources': True}, 'read_time': 2, 'authors': ['Matthew Perrone'], 'authors_data': [{'name': 'Matthew Perrone', 'twitter_handle': None, 'score': 65, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://apnews.com/article/coronavirus-pandemic-moderna-vaccine-approved-dc6f5ac9eeb31667d5a28f0954335b65', 'story_id': 10572616, 'title': 'Moderna announces full US approval for its COVID-19 vaccine', 'score': 59}"
https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html,10572739,70,"{'site_meta': {'name': 'New York Times', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 1, 'self_promotion_score': 1, 'diversity_sources_score': 1, 'political_sources_score': 0, 'quotes_count': 5, 'quotes_score': 1, 'sources_score': 1, 'topic': 'world', 'source_credibility_score': 0.8, 'author_history_score': 0, 'unique_links': [{'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'heaved with accounts', 'url': 'https://www.nytimes.com/2022/01/11/world/europe/boris-johnson-uk-parties.html'}, {'cred': None, 'hostname': 'politico.eu', 'bias': None, 'name': 'politico.eu', 'title': 'all of them', 'url': 'https://www.politico.eu/article/12-times-boris-johnsons-tories-party-during-lockdown/'}, {'cred': None, 'hostname': 'thenational.scot', 'bias': None, 'name': 'thenational.scot', 'title': 'plummeted', 'url': 'https://www.thenational.scot/news/19879446.partygate-takes-boris-johnson-poll-rating-record-low/'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'the police', 'url': 'https://www.nytimes.com/2022/01/25/world/europe/uk-boris-johnson-parties-police.html'}, {'cred': 'HIGH', 'hostname': 'news.sky.com', 'bias': 'LEAN_LEFT', 'name': 'Sky News', 'title': 'send party officials', 'url': 'https://news.sky.com/story/all-the-tory-mps-who-we-know-have-submitted-letters-of-no-confidence-in-boris-johnson-so-far-12519797'}, {'cred': 'HIGH', 'hostname': 'thetimes.co.uk', 'bias': 'LEAN_RIGHT', 'name': 'The Times of London', 'title': 'decade in power', 'url': 'https://www.thetimes.co.uk/article/boris-johnson-eyes-another-decade-in-power-jp0chz9xl'}, {'cred': 'HIGH', 'hostname': 'inews.co.uk', 'bias': 'LEAN_LEFT', 'name': 'iNews', 'title': 'two-thirds', 'url': 'https://inews.co.uk/news/politics/uk-boris-johnson-resign-prime-minister-yougov-poll-1422503'}, {'cred': 'HIGH', 'hostname': 'itv.com', 'bias': 'LEAN_RIGHT', 'name': 'ITV News', 'title': 'emailed 100 officials', 'url': 'https://www.itv.com/news/2022-01-10/email-proves-downing-street-staff-held-drinks-party-at-height-of-lockdown'}, {'cred': 'HIGH', 'hostname': 'telegraph.co.uk', 'bias': 'LEAN_RIGHT', 'name': 'Daily Telegraph', 'title': 'fill a suitcase', 'url': 'https://www.telegraph.co.uk/politics/2022/01/13/two-parties-held-downing-street-queen-country-mourned-death/'}, {'cred': None, 'hostname': 'yougov.co.uk', 'bias': None, 'name': 'yougov.co.uk', 'title': 'has sunk to 22 percent', 'url': 'https://yougov.co.uk/topics/politics/trackers/boris-johnson-approval-rating'}, {'cred': 'VERY_HIGH', 'hostname': 'bbc.co.uk', 'bias': 'LEAN_LEFT', 'name': 'BBC', 'title': 'David Davis', 'url': 'https://www.bbc.co.uk/news/uk-politics-60056482'}, {'cred': 'HIGH', 'hostname': 'thetimes.co.uk', 'bias': 'LEAN_RIGHT', 'name': 'The Times of London', 'title': 'interviewed', 'url': 'https://www.thetimes.co.uk/article/boris-johnson-faces-police-interview-over-no-10-lockdown-parties-x57pth0w5'}, {'cred': None, 'hostname': 'politico.eu', 'bias': None, 'name': 'politico.eu', 'title': 'musing aloud', 'url': 'https://www.politico.eu/article/boris-johnson-likens-climate-change-to-fall-of-the-roman-empire-cop26-g20/'}], 'self_citations': ['https://www.nytimes.com/2022/01/11/world/europe/boris-johnson-uk-parties.html', 'https://www.nytimes.com/2022/01/25/world/europe/uk-boris-johnson-parties-police.html'], 'unique_sources': ['New York Times', 'politico.eu', 'thenational.scot', 'Sky News', 'The Times of London', 'iNews', 'ITV News', 'Daily Telegraph', 'yougov.co.uk', 'BBC'], 'overall_quality': 'medium', 'opinion_score': 0.05, 'multiple_sources': True}, 'read_time': 4, 'authors': ['Eleni Courea'], 'authors_data': [{'name': 'Eleni Courea', 'twitter_handle': None, 'score': 70, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html', 'story_id': 10572739, 'title': '‘I Will Fix It.’ Boris Johnson and the Art of Audacity.', 'score': 70}"
https://www.reutersagency.com/en/reuters-best/reuters-reveals-chinas-zero-covid-campaign-under-strain-as-omicron-surges/,,,
https://www.reuters.com/world/europe/court-rejects-mass-killer-breiviks-parole-application-2022-02-01/,10577261,71,"{'site_meta': {'name': 'Reuters', 'cred': 'VERY_HIGH', 'bias': 'CENTER'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.5, 'self_promotion_score': 0, 'diversity_sources_score': 0.4, 'political_sources_score': 0, 'quotes_count': 3, 'quotes_score': 1, 'sources_score': 0.6499999999999999, 'topic': 'politics', 'source_credibility_score': 1, 'author_history_score': 0.52, 'unique_links': [{'cred': 'VERY_HIGH', 'hostname': 'reuters.com', 'bias': 'CENTER', 'name': 'Reuters', 'title': 'killed 77 people', 'url': 'https://www.reuters.com/world/europe/norway-marks-ten-years-since-breiviks-deadly-attacks-2021-07-21'}, {'cred': 'VERY_HIGH', 'hostname': 'reuters.com', 'bias': 'CENTER', 'name': 'Reuters', 'title': 'blamed online radicalisation', 'url': 'https://www.reuters.com/world/europe/mass-killer-breiviks-parole-hearing-begin-tuesday-norway-2022-01-17'}, {'cred': 'VERY_HIGH', 'hostname': 'reuters.com', 'bias': 'CENTER', 'name': 'Reuters', 'title': 'remains as likely', 'url': 'https://www.reuters.com/world/europe/norwegian-mass-killer-breivik-dangerous-now-decade-ago-court-told-2022-01-19'}, {'cred': None, 'hostname': 'thomsonreuters.com', 'bias': None, 'name': 'thomsonreuters.com', 'title': 'The Thomson Reuters Trust Principles.', 'url': 'https://www.thomsonreuters.com/en/about-us/trust-principles.html'}], 'self_citations': ['https://www.reuters.com/world/europe/norway-marks-ten-years-since-breiviks-deadly-attacks-2021-07-21', 'https://www.reuters.com/world/europe/mass-killer-breiviks-parole-hearing-begin-tuesday-norway-2022-01-17', 'https://www.reuters.com/world/europe/norwegian-mass-killer-breivik-dangerous-now-decade-ago-court-told-2022-01-19'], 'unique_sources': ['Reuters', 'thomsonreuters.com'], 'overall_quality': 'medium', 'author_expertise': 'business', 'opinion_score': 0.68, 'multiple_sources': True}, 'read_time': 2, 'authors': ['Victoria Klesty'], 'authors_data': [{'name': 'Victoria Klesty', 'twitter_handle': None, 'score': 69, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.reuters.com/world/europe/court-rejects-mass-killer-breiviks-parole-application-2022-02-01', 'story_id': 10577261, 'title': ""Court rejects Norwegian mass killer Breivik's parole application"", 'score': 71}"
