url,score,response
https://www.nytimes.com/2022/01/31/technology/facebook-meta-change.html,,"{'col3': ['https://www.nytimes.com/2022/01/31/technology/facebook-meta-change.html'], 'col2': {'abc': 'https://www.nytimes.com/2022/01/31/technology/facebook-meta-change.html', 'cde': 'https://www.nytimes.com/2022/01/31/technology/facebook-meta-change.html'}}"
https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html,,"{'col3': ['https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html'], 'col2': {'abc': 'https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html', 'cde': 'https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html'}}"
https://www.nytimes.com/2022/01/30/opinion/culture/covid-death-mental-health.html,,"{'col3': ['https://www.nytimes.com/2022/01/30/opinion/culture/covid-death-mental-health.html'], 'col2': {'abc': 'https://www.nytimes.com/2022/01/30/opinion/culture/covid-death-mental-health.html', 'cde': 'https://www.nytimes.com/2022/01/30/opinion/culture/covid-death-mental-health.html'}}"
https://www.washingtonpost.com/world/2022/01/30/ukraine-russia-putin-us/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,,"{'col3': ['https://www.washingtonpost.com/world/2022/01/30/ukraine-russia-putin-us/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/30/ukraine-russia-putin-us/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/30/ukraine-russia-putin-us/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}"
https://www.npr.org/2022/01/31/1076012108/from-stalin-to-putin-ukraine-is-still-trying-to-break-free-from-moscow,,"{'col3': ['https://www.npr.org/2022/01/31/1076012108/from-stalin-to-putin-ukraine-is-still-trying-to-break-free-from-moscow'], 'col2': {'abc': 'https://www.npr.org/2022/01/31/1076012108/from-stalin-to-putin-ukraine-is-still-trying-to-break-free-from-moscow', 'cde': 'https://www.npr.org/2022/01/31/1076012108/from-stalin-to-putin-ukraine-is-still-trying-to-break-free-from-moscow'}}"
https://www.npr.org/2022/01/29/1076699748/ukraine-russian-attack-preparation,,"{'col3': ['https://www.npr.org/2022/01/29/1076699748/ukraine-russian-attack-preparation'], 'col2': {'abc': 'https://www.npr.org/2022/01/29/1076699748/ukraine-russian-attack-preparation', 'cde': 'https://www.npr.org/2022/01/29/1076699748/ukraine-russian-attack-preparation'}}"
https://www.npr.org/2022/01/28/1076495657/russia-ukraine-border-united-states-kyiv,,"{'col3': ['https://www.npr.org/2022/01/28/1076495657/russia-ukraine-border-united-states-kyiv'], 'col2': {'abc': 'https://www.npr.org/2022/01/28/1076495657/russia-ukraine-border-united-states-kyiv', 'cde': 'https://www.npr.org/2022/01/28/1076495657/russia-ukraine-border-united-states-kyiv'}}"
https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-u-s-health-agency-may-be-unprepared-to-take-over-covid-vaccine-program/,,"{'col3': ['https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-u-s-health-agency-may-be-unprepared-to-take-over-covid-vaccine-program/'], 'col2': {'abc': 'https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-u-s-health-agency-may-be-unprepared-to-take-over-covid-vaccine-program/', 'cde': 'https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-u-s-health-agency-may-be-unprepared-to-take-over-covid-vaccine-program/'}}"
https://apnews.com/article/coronavirus-pandemic-moderna-vaccine-approved-dc6f5ac9eeb31667d5a28f0954335b65,,"{'col3': ['https://apnews.com/article/coronavirus-pandemic-moderna-vaccine-approved-dc6f5ac9eeb31667d5a28f0954335b65'], 'col2': {'abc': 'https://apnews.com/article/coronavirus-pandemic-moderna-vaccine-approved-dc6f5ac9eeb31667d5a28f0954335b65', 'cde': 'https://apnews.com/article/coronavirus-pandemic-moderna-vaccine-approved-dc6f5ac9eeb31667d5a28f0954335b65'}}"
https://apnews.com/article/death-of-george-floyd-police-minneapolis-thomas-lane-tou-thao-68cd79988f4a62eac2d5cc671d2b68da,,"{'col3': ['https://apnews.com/article/death-of-george-floyd-police-minneapolis-thomas-lane-tou-thao-68cd79988f4a62eac2d5cc671d2b68da'], 'col2': {'abc': 'https://apnews.com/article/death-of-george-floyd-police-minneapolis-thomas-lane-tou-thao-68cd79988f4a62eac2d5cc671d2b68da', 'cde': 'https://apnews.com/article/death-of-george-floyd-police-minneapolis-thomas-lane-tou-thao-68cd79988f4a62eac2d5cc671d2b68da'}}"
