url,score,response
https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html,70,"{'site_meta': {'name': 'New York Times', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 1, 'self_promotion_score': 1, 'diversity_sources_score': 1, 'political_sources_score': 0, 'quotes_count': 5, 'quotes_score': 1, 'sources_score': 1, 'topic': 'world', 'source_credibility_score': 0.8, 'author_history_score': 0, 'unique_links': [{'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'heaved with accounts', 'url': 'https://www.nytimes.com/2022/01/11/world/europe/boris-johnson-uk-parties.html'}, {'cred': None, 'hostname': 'politico.eu', 'bias': None, 'name': 'politico.eu', 'title': 'all of them', 'url': 'https://www.politico.eu/article/12-times-boris-johnsons-tories-party-during-lockdown/'}, {'cred': None, 'hostname': 'thenational.scot', 'bias': None, 'name': 'thenational.scot', 'title': 'plummeted', 'url': 'https://www.thenational.scot/news/19879446.partygate-takes-boris-johnson-poll-rating-record-low/'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'the police', 'url': 'https://www.nytimes.com/2022/01/25/world/europe/uk-boris-johnson-parties-police.html'}, {'cred': 'HIGH', 'hostname': 'news.sky.com', 'bias': 'LEAN_LEFT', 'name': 'Sky News', 'title': 'send party officials', 'url': 'https://news.sky.com/story/all-the-tory-mps-who-we-know-have-submitted-letters-of-no-confidence-in-boris-johnson-so-far-12519797'}, {'cred': 'HIGH', 'hostname': 'thetimes.co.uk', 'bias': 'LEAN_RIGHT', 'name': 'The Times of London', 'title': 'decade in power', 'url': 'https://www.thetimes.co.uk/article/boris-johnson-eyes-another-decade-in-power-jp0chz9xl'}, {'cred': 'HIGH', 'hostname': 'inews.co.uk', 'bias': 'LEAN_LEFT', 'name': 'iNews', 'title': 'two-thirds', 'url': 'https://inews.co.uk/news/politics/uk-boris-johnson-resign-prime-minister-yougov-poll-1422503'}, {'cred': 'HIGH', 'hostname': 'itv.com', 'bias': 'LEAN_RIGHT', 'name': 'ITV News', 'title': 'emailed 100 officials', 'url': 'https://www.itv.com/news/2022-01-10/email-proves-downing-street-staff-held-drinks-party-at-height-of-lockdown'}, {'cred': 'HIGH', 'hostname': 'telegraph.co.uk', 'bias': 'LEAN_RIGHT', 'name': 'Daily Telegraph', 'title': 'fill a suitcase', 'url': 'https://www.telegraph.co.uk/politics/2022/01/13/two-parties-held-downing-street-queen-country-mourned-death/'}, {'cred': None, 'hostname': 'yougov.co.uk', 'bias': None, 'name': 'yougov.co.uk', 'title': 'has sunk to 22 percent', 'url': 'https://yougov.co.uk/topics/politics/trackers/boris-johnson-approval-rating'}, {'cred': 'VERY_HIGH', 'hostname': 'bbc.co.uk', 'bias': 'LEAN_LEFT', 'name': 'BBC', 'title': 'David Davis', 'url': 'https://www.bbc.co.uk/news/uk-politics-60056482'}, {'cred': 'HIGH', 'hostname': 'thetimes.co.uk', 'bias': 'LEAN_RIGHT', 'name': 'The Times of London', 'title': 'interviewed', 'url': 'https://www.thetimes.co.uk/article/boris-johnson-faces-police-interview-over-no-10-lockdown-parties-x57pth0w5'}, {'cred': None, 'hostname': 'politico.eu', 'bias': None, 'name': 'politico.eu', 'title': 'musing aloud', 'url': 'https://www.politico.eu/article/boris-johnson-likens-climate-change-to-fall-of-the-roman-empire-cop26-g20/'}], 'self_citations': ['https://www.nytimes.com/2022/01/11/world/europe/boris-johnson-uk-parties.html', 'https://www.nytimes.com/2022/01/25/world/europe/uk-boris-johnson-parties-police.html'], 'unique_sources': ['New York Times', 'politico.eu', 'thenational.scot', 'Sky News', 'The Times of London', 'iNews', 'ITV News', 'Daily Telegraph', 'yougov.co.uk', 'BBC'], 'overall_quality': 'medium', 'opinion_score': 0.05, 'multiple_sources': True}, 'read_time': 4, 'authors': ['Eleni Courea'], 'authors_data': [{'name': 'Eleni Courea', 'twitter_handle': None, 'score': 70, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.nytimes.com/2022/01/31/opinion/gray-report-boris-johnson.html', 'story_id': 10572739, 'title': '‘I Will Fix It.’ Boris Johnson and the Art of Audacity.', 'score': 70}"
https://www.washingtonpost.com/world/2022/01/30/ukraine-russia-putin-us/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,81,"{'site_meta': {'name': 'Washington Post', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.875, 'self_promotion_score': 0, 'diversity_sources_score': 0.4, 'political_sources_score': 0, 'quotes_count': 9, 'quotes_score': 1, 'sources_score': 0.725, 'topic': 'world', 'source_credibility_score': 0.8, 'author_history_score': 0.82, 'unique_links': [{'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'debate the likelihood', 'url': 'https://www.washingtonpost.com/national-security/2022/01/29/us-allies-debate-intelligence-how-quickly-putin-will-order-an-invasion-ukraine-or-whether-he-will-all/?itid=lk_inline_manual_4'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'bolster NATO allies', 'url': 'https://www.washingtonpost.com/world/2022/01/22/ukraine-russia-military-weapons-nato-biden/?itid=lk_inline_manual_11'}, {'cred': None, 'hostname': 'mid.ru', 'bias': None, 'name': 'mid.ru', 'title': 'Russian media', 'url': 'https://www.mid.ru/ru/foreign_policy/news/1796330/?lang=en'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'counterproposals on security,', 'url': 'https://www.washingtonpost.com/world/2022/01/27/ukraine-russia-us-nato-putin/?itid=lk_inline_manual_21'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'in support of', 'url': 'https://www.washingtonpost.com/national-security/russia-ukraine-invasion/2021/12/03/98a3760e-546b-11ec-8769-2f4ecdf7a2ad_story.html?itid=lk_inline_manual_35&itid=lk_inline_manual_25'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'training for the worst', 'url': 'https://www.washingtonpost.com/world/2022/01/27/ukraine-russia-volunteers-civilians/?itid=lk_inline_manual_28'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'cutting off supplies.', 'url': 'https://www.washingtonpost.com/climate-environment/2022/01/25/ukraine-russia-natural-gas-sanctions/?itid=lk_inline_manual_37&itid=lk_inline_manual_33'}], 'self_citations': ['https://www.washingtonpost.com/national-security/2022/01/29/us-allies-debate-intelligence-how-quickly-putin-will-order-an-invasion-ukraine-or-whether-he-will-all/?itid=lk_inline_manual_4', 'https://www.washingtonpost.com/world/2022/01/22/ukraine-russia-military-weapons-nato-biden/?itid=lk_inline_manual_11', 'https://www.washingtonpost.com/world/2022/01/27/ukraine-russia-us-nato-putin/?itid=lk_inline_manual_21', 'https://www.washingtonpost.com/national-security/russia-ukraine-invasion/2021/12/03/98a3760e-546b-11ec-8769-2f4ecdf7a2ad_story.html?itid=lk_inline_manual_35&itid=lk_inline_manual_25', 'https://www.washingtonpost.com/world/2022/01/27/ukraine-russia-volunteers-civilians/?itid=lk_inline_manual_28', 'https://www.washingtonpost.com/climate-environment/2022/01/25/ukraine-russia-natural-gas-sanctions/?itid=lk_inline_manual_37&itid=lk_inline_manual_33'], 'unique_sources': ['Washington Post', 'mid.ru'], 'overall_quality': 'high', 'author_expertise': 'world', 'opinion_score': 1, 'multiple_sources': True}, 'read_time': 3, 'authors': ['Rachel Pannett'], 'authors_data': [{'name': 'Rachel Pannett', 'twitter_handle': None, 'score': 76, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.washingtonpost.com/world/2022/01/30/ukraine-russia-putin-us/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'story_id': 10569235, 'title': 'Britain offers jets, warships to bolster NATO forces amid escalating Russia threat to Ukraine', 'score': 81}"
https://www.npr.org/2022/01/29/1076699748/ukraine-russian-attack-preparation,62,"{'site_meta': {'name': 'NPR', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.5, 'self_promotion_score': 0, 'diversity_sources_score': 0.2, 'political_sources_score': 0, 'quotes_count': 9, 'quotes_score': 1, 'sources_score': 0.6, 'topic': 'world', 'source_credibility_score': 0.8, 'author_history_score': 0.5, 'unique_links': [{'cred': 'HIGH', 'hostname': 'npr.org', 'bias': 'LEAN_LEFT', 'name': 'NPR', 'title': 'cyber warfare, much of it from Russia', 'url': 'https://www.npr.org/2017/06/22/533951389/experts-suspect-russia-is-using-ukraine-as-a-cyberwar-testing-ground'}, {'cred': 'HIGH', 'hostname': 'npr.org', 'bias': 'LEAN_LEFT', 'name': 'NPR', 'title': 'massive attack temporarily took down', 'url': 'https://www.npr.org/2022/01/14/1073001754/ukraine-cyber-attack-government-websites-russia'}, {'cred': 'HIGH', 'hostname': 'npr.org', 'bias': 'LEAN_LEFT', 'name': 'NPR', 'title': 'in an interview with All Things Considered', 'url': 'https://www.npr.org/2022/01/28/1076514256/the-top-u-s-diplomat-in-ukraine-still-hopes-putin-chooses-diplomacy'}, {'cred': 'HIGH', 'hostname': 'npr.org', 'bias': 'LEAN_LEFT', 'name': 'NPR', 'title': 'Over the years, that military aid has taken many forms', 'url': 'https://www.npr.org/2019/12/18/788874844/how-u-s-military-aid-has-helped-ukraine-since-2014'}], 'self_citations': ['https://www.npr.org/2017/06/22/533951389/experts-suspect-russia-is-using-ukraine-as-a-cyberwar-testing-ground', 'https://www.npr.org/2022/01/14/1073001754/ukraine-cyber-attack-government-websites-russia', 'https://www.npr.org/2022/01/28/1076514256/the-top-u-s-diplomat-in-ukraine-still-hopes-putin-chooses-diplomacy', 'https://www.npr.org/2019/12/18/788874844/how-u-s-military-aid-has-helped-ukraine-since-2014'], 'unique_sources': ['NPR'], 'overall_quality': 'medium', 'author_expertise': 'politics', 'opinion_score': 0.54, 'multiple_sources': True}, 'read_time': 4, 'authors': ['Becky Sullivan', 'Daniel Estrin'], 'authors_data': [{'name': 'Becky Sullivan', 'twitter_handle': 'becsully', 'score': 67, 'image_url': 'https://forum.cvko.co/twt/profilepic?handle=becsully'}, {'name': 'Daniel Estrin', 'twitter_handle': 'danielestrin', 'score': 66, 'image_url': 'https://forum.cvko.co/twt/profilepic?handle=danielestrin'}], 'url': 'https://www.npr.org/2022/01/29/1076699748/ukraine-russian-attack-preparation', 'story_id': 10568893, 'title': 'Is Ukraine ready for a Russian attack? It depends what kind', 'score': 62}"
https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-exxon-mobil-launches-sale-of-u-s-shale-gas-properties/,,"{'site_meta': {'cred': None, 'bias': None, 'name': 'reutersagency.com'}, 'quality': {'error': 'Not a rated news source'}, 'read_time': 0, 'authors': [], 'authors_data': [], 'url': 'https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-exxon-mobil-launches-sale-of-u-s-shale-gas-properties'}"
https://apnews.com/article/spotify-joe-rogan-covid-advisories-435f6efc51f4d4c94587f1b4ffe5fbe3,73,"{'site_meta': {'name': 'Associated Press', 'cred': 'VERY_HIGH', 'bias': 'CENTER'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.25, 'self_promotion_score': 0, 'diversity_sources_score': 0.2, 'political_sources_score': 0, 'quotes_count': 12, 'quotes_score': 1, 'sources_score': 0.5499999999999999, 'topic': 'health', 'source_credibility_score': 1, 'author_history_score': 0.55, 'unique_links': [{'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'had his music removed from Spotify', 'url': 'https://apnews.com/article/spotify-removing-neil-young-library-joe-rogan-b6d38567a08a9860b1dc6aeb651fec78'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'Joni Mitchell said she is seeking to remove all of her music from Spotify', 'url': 'https://apnews.com/article/joni-mitchell-spotify-protest-coronavirus-neil-young-895b130dac2886d1eb4130e47ed7dd5b'}], 'self_citations': ['https://apnews.com/article/spotify-removing-neil-young-library-joe-rogan-b6d38567a08a9860b1dc6aeb651fec78', 'https://apnews.com/article/joni-mitchell-spotify-protest-coronavirus-neil-young-895b130dac2886d1eb4130e47ed7dd5b'], 'unique_sources': ['Associated Press'], 'overall_quality': 'medium', 'author_expertise': 'entertainment', 'opinion_score': 1, 'multiple_sources': True}, 'read_time': 3, 'authors': ['Jake Coyle'], 'authors_data': [{'name': 'Jake Coyle', 'twitter_handle': None, 'score': 73, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://apnews.com/article/spotify-joe-rogan-covid-advisories-435f6efc51f4d4c94587f1b4ffe5fbe3', 'story_id': 10571946, 'title': 'Rogan responds to Spotify protest, COVID advisories', 'score': 73}"
https://www.dailykos.com/stories/2022/1/31/2077787/-Let-s-call-it-exactly-what-it-is-enabling-evil,42,"{'site_meta': {'name': 'Daily Kos', 'cred': 'MIXED', 'bias': 'LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.25, 'self_promotion_score': 1, 'diversity_sources_score': 0.4, 'political_sources_score': 0, 'quotes_count': 2, 'quotes_score': 0, 'sources_score': 0.6, 'topic': 'culture', 'source_credibility_score': 0.5, 'author_history_score': 0, 'unique_links': [{'cred': 'HIGH', 'hostname': 'en.wikipedia.org', 'bias': 'CENTER', 'name': 'Wikipedia', 'title': 'herd mentality', 'url': 'https://en.wikipedia.org/wiki/Herd_mentality#:~:text=Herd%20mentality%2C%20mob%20mentality%20or,than%20they%20would%20have%20individually.'}, {'cred': 'HIGH', 'hostname': 'newyorker.com', 'bias': 'LEFT', 'name': 'New Yorker', 'title': 'Andy Borowitz wrote a piece as satire speaking about Republican herd mentality', 'url': 'https://www.newyorker.com/humor/borowitz-report/scientists-believe-congressional-republicans-have-developed-herd-mentality'}], 'self_citations': [], 'unique_sources': ['Wikipedia', 'New Yorker'], 'overall_quality': 'low', 'opinion_score': 0.01, 'multiple_sources': False}, 'read_time': 4, 'authors': [], 'authors_data': [], 'url': 'https://www.dailykos.com/stories/2022/1/31/2077787/-Let-s-call-it-exactly-what-it-is-enabling-evil', 'story_id': 10573350, 'title': ""Let's call it exactly what it is: Enabling evil"", 'score': 42}"
https://www.dailykos.com/stories/2022/1/29/1540994/-She-had-a-natural-remedy-for-everything-but-weirdly-COVID-didn-t-care,50,"{'site_meta': {'name': 'Daily Kos', 'cred': 'MIXED', 'bias': 'LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.375, 'self_promotion_score': 1, 'diversity_sources_score': 0.6, 'political_sources_score': 0, 'quotes_count': 7, 'quotes_score': 1, 'sources_score': 0.775, 'topic': 'health', 'source_credibility_score': 0.5, 'author_history_score': 0, 'unique_links': [{'cred': 'HIGH', 'hostname': 'jpost.com', 'bias': 'LEAN_RIGHT', 'name': 'The Jerusalem Post', 'title': 'article', 'url': 'https://www.jpost.com/breaking-news/pfizer-ceos-israel-visit-cancelled-because-he-is-unvaccinated-report-661100'}, {'cred': None, 'hostname': 'thelancet.com', 'bias': None, 'name': 'thelancet.com', 'title': 'heavily', 'url': 'https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00947-8/fulltext'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'famous story', 'url': 'https://www.nytimes.com/2019/01/07/us/florida-government-shutdown-marianna.html'}], 'self_citations': [], 'unique_sources': ['The Jerusalem Post', 'thelancet.com', 'New York Times'], 'overall_quality': 'medium', 'opinion_score': 0.01, 'multiple_sources': False}, 'read_time': 3, 'authors': [], 'authors_data': [], 'url': 'https://www.dailykos.com/stories/2022/1/29/1540994/-She-had-a-natural-remedy-for-everything-but-weirdly-COVID-didn-t-care', 'story_id': 10573364, 'title': ""She had a natural remedy for everything but weirdly, COVID didn't care"", 'score': 50}"
https://www.newsmax.com/newsfront/britain-politics-uk-johnson/2022/01/31/id/1054761,,"{'site_meta': {'name': 'Newsmax', 'cred': 'MIXED', 'bias': 'RIGHT'}, 'quality': {'error': '""Unable to fetch content""'}, 'read_time': 0, 'authors': [], 'authors_data': [], 'url': 'https://www.newsmax.com/newsfront/britain-politics-uk-johnson/2022/01/31/id/1054761'}"
https://www.oann.com/u-s-and-uk-ready-to-punish-putin-associates-if-russia-invades-ukraine/?utm_source=rss&utm_medium=rss&utm_campaign=u-s-and-uk-ready-to-punish-putin-associates-if-russia-invades-ukraine,37,"{'site_meta': {'name': 'One America News Network', 'cred': 'MIXED', 'bias': 'RIGHT'}, 'quality': {'quality_sources_score': 0, 'unique_link_score': 0, 'self_promotion_score': 0, 'diversity_sources_score': 0, 'political_sources_score': 0, 'quotes_count': 6, 'quotes_score': 1, 'sources_score': 0.2, 'topic': 'world', 'source_credibility_score': 0.5, 'author_history_score': 0, 'unique_links': [], 'self_citations': [], 'unique_sources': [], 'overall_quality': 'low', 'opinion_score': 0.81, 'multiple_sources': True}, 'read_time': 4, 'authors': [], 'authors_data': [], 'url': 'https://www.oann.com/u-s-and-uk-ready-to-punish-putin-associates-if-russia-invades-ukraine/?utm_source=rss&utm_medium=rss&utm_campaign=u-s-and-uk-ready-to-punish-putin-associates-if-russia-invades-ukraine', 'story_id': 10573460, 'title': 'Breaking News Updates', 'score': 37}"
https://www.commondreams.org/news/2022/01/31/while-lobbying-kill-build-back-better-pharma-hikes-costs-866-drugs,75,"{'site_meta': {'name': 'Common Dreams', 'cred': 'HIGH', 'bias': 'LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 1, 'self_promotion_score': 0.5, 'diversity_sources_score': 1, 'political_sources_score': 0, 'quotes_count': 9, 'quotes_score': 1, 'sources_score': 0.95, 'topic': 'health', 'source_credibility_score': 0.8, 'author_history_score': 0.54, 'unique_links': [{'cred': 'VERY_HIGH', 'hostname': 'opensecrets.org', 'bias': 'CENTER', 'name': 'Open Secrets', 'title': 'flush with cash', 'url': 'https://www.opensecrets.org/news/2021/09/pharmaceutical-industry-backs-democratic-holdouts-on-drug-pricing-plan/'}, {'cred': 'HIGH', 'hostname': 'wsj.com', 'bias': 'LEAN_RIGHT', 'name': 'Wall Street Journal', 'title': 'observed', 'url': 'https://www.wsj.com/articles/drugmakers-raised-prices-by-6-6-on-average-early-this-year-11643538782'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'record-shattering', 'url': 'https://www.washingtonpost.com/business/2021/11/05/pharmaceutical-industry-drug-price-lobbying/'}, {'cred': 'HIGH', 'hostname': 'commondreams.org', 'bias': 'LEFT', 'name': 'Common Dreams', 'title': 'far worse', 'url': 'https://www.commondreams.org/news/2021/04/28/study-commissioned-sanders-shows-us-pays-2-4-times-more-prescription-drugs-other'}, {'cred': 'HIGH', 'hostname': 'commondreams.org', 'bias': 'LEFT', 'name': 'Common Dreams', 'title': 'contains', 'url': 'https://www.commondreams.org/news/2021/11/03/progressives-cautiously-welcome-drug-pricing-agreement-something-build'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'currently prohibited', 'url': 'https://apnews.com/article/lifestyle-business-congress-health-care-reform-medicare-756e3255a1cb4ab8c813151aec19b60c'}, {'cred': None, 'hostname': 'patientsforaffordabledrugs.org', 'bias': None, 'name': 'patientsforaffordabledrugs.org', 'title': 'falsehood-riddled', 'url': 'https://patientsforaffordabledrugs.org/2021/08/26/setting-the-record-straight-fact-checking/'}, {'cred': 'HIGH', 'hostname': 'commondreams.org', 'bias': 'LEFT', 'name': 'Common Dreams', 'title': 'threatened', 'url': 'https://www.commondreams.org/news/2021/09/15/call-them-now-ire-aimed-3-democrats-endangering-plan-lower-drug-prices'}, {'cred': 'HIGH', 'hostname': 'prospect.org', 'bias': 'LEFT', 'name': 'The American Prospect', 'title': 'compromise plan', 'url': 'https://prospect.org/infrastructure/building-back-america/drug-price-tax-break-quid-pro-quo/'}, {'cred': 'HIGH', 'hostname': 'commondreams.org', 'bias': 'LEFT', 'name': 'Common Dreams', 'title': 'Bob Menendez', 'url': 'https://www.commondreams.org/news/2021/10/25/critics-see-menendez-villainy-equal-sinemas-medicare-drug-pricing-fight'}, {'cred': 'HIGH', 'hostname': 'commondreams.org', 'bias': 'LEFT', 'name': 'Common Dreams', 'title': 'recent investigation', 'url': 'https://www.commondreams.org/news/2021/12/10/probe-shows-big-pharma-manipulated-patent-system-and-raised-prices-abandon'}, {'cred': None, 'hostname': 'khn.org', 'bias': None, 'name': 'khn.org', 'title': 'reported', 'url': 'https://khn.org/news/article/pharma-campaign-cash-delivered-to-key-lawmakers-with-surgical-precision/'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'cap insulin costs', 'url': 'https://www.washingtonpost.com/health/2021/12/13/35-dollar-cap-insulin-build-back-better-act/'}, {'cred': 'HIGH', 'hostname': 'statnews.com', 'bias': 'CENTER', 'name': 'Stat (News)', 'title': 'reported', 'url': 'https://www.statnews.com/2022/01/25/insulin-giants-eli-lilly-and-novo-nordisk-boosted-their-lobbying-spending-as-democrats-eyed-pricing-reform/'}, {'cred': 'HIGH', 'hostname': 'commondreams.org', 'bias': 'LEFT', 'name': 'Common Dreams', 'title': 'statement', 'url': 'https://www.commondreams.org/newswire/2022/01/27/congressional-progressive-caucus-calls-senate-passage-build-back-better-state'}, {'cred': 'HIGH', 'hostname': 'commondreams.org', 'bias': 'LEFT', 'name': 'Common Dreams', 'title': 'More Ways to Give page.', 'url': 'https://commondreams.org/more-ways-to-give'}], 'self_citations': ['https://www.commondreams.org/news/2021/04/28/study-commissioned-sanders-shows-us-pays-2-4-times-more-prescription-drugs-other', 'https://www.commondreams.org/news/2021/11/03/progressives-cautiously-welcome-drug-pricing-agreement-something-build', 'https://www.commondreams.org/news/2021/09/15/call-them-now-ire-aimed-3-democrats-endangering-plan-lower-drug-prices', 'https://www.commondreams.org/news/2021/10/25/critics-see-menendez-villainy-equal-sinemas-medicare-drug-pricing-fight', 'https://www.commondreams.org/news/2021/12/10/probe-shows-big-pharma-manipulated-patent-system-and-raised-prices-abandon', 'https://www.commondreams.org/newswire/2022/01/27/congressional-progressive-caucus-calls-senate-passage-build-back-better-state', 'https://commondreams.org/more-ways-to-give'], 'unique_sources': ['Open Secrets', 'Wall Street Journal', 'Washington Post', 'Common Dreams', 'Associated Press', 'patientsforaffordabledrugs.org', 'The American Prospect', 'khn.org', 'Stat (News)'], 'overall_quality': 'high', 'author_expertise': 'politics', 'opinion_score': 0.5, 'multiple_sources': False}, 'read_time': 4, 'authors': ['Jake Johnson'], 'authors_data': [{'name': 'Jake Johnson', 'twitter_handle': None, 'score': 72, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.commondreams.org/news/2022/01/31/while-lobbying-kill-build-back-better-pharma-hikes-costs-866-drugs', 'story_id': 10572335, 'title': 'While Lobbying to Kill Build Back Better, Pharma Hikes Costs of 866 Drugs', 'score': 75}"
