url,domain,bias,cred,score,quality,story_id,response
https://www.dailykos.com/stories/2022/1/31/2077782/-congress-has-a-lot-to-do-in-the-next-month-and-republicans-won-t-make-any-of-it-easy,dailykos.com,LEFT,MIXED,58,see score,10573351,"{'site_meta': {'name': 'Daily Kos', 'cred': 'MIXED', 'bias': 'LEFT'}, 'quality': {'quality_sources_score': 0.9, 'unique_link_score': 1, 'self_promotion_score': 1, 'diversity_sources_score': 1, 'political_sources_score': 0.03333333333333333, 'quotes_count': 11, 'quotes_score': 1, 'sources_score': 0.8783333333333333, 'topic': 'politics', 'source_credibility_score': 0.5, 'author_history_score': 0, 'unique_links': [{'cred': 'HIGH', 'hostname': 'thehill.com', 'bias': 'LEAN_LEFT', 'name': 'The Hill', 'title': 'briefed on the Ukraine situation', 'url': 'https://thehill.com/homenews/senate/592025-senate-to-get-ukraine-russia-briefing-on-thursday'}, {'cred': 'HIGH', 'hostname': 'politico.com', 'bias': 'LEAN_LEFT', 'name': 'Politico', 'title': 'memo', 'url': 'https://www.politico.com/f/?id=0000017e-ae48-daa6-a9fe-ae7ac2410000&nname=playbook&nid=0000014f-1646-d88f-a1cf-5f46b7bd0000&nrid=0000014e-f10f-dd93-ad7f-f90f7c820004&nlid=630318'}, {'cred': 'HIGH', 'hostname': 'nbcnews.com', 'bias': 'LEAN_LEFT', 'name': 'NBC News', 'title': 'told', 'url': 'https://www.nbcnews.com/politics/congress/supreme-court-confirmation-battle-adds-busy-stretch-congress-n1288195'}, {'cred': 'HIGH', 'hostname': 'nbcnews.com', 'bias': 'LEAN_LEFT', 'name': 'NBC News', 'title': 'said', 'url': 'https://www.nbcnews.com/politics/congress/manchin-says-he-s-ready-talk-can-democrats-sell-him-n1287842'}, {'cred': 'MIXED', 'hostname': 'news.yahoo.com', 'bias': 'LEAN_LEFT', 'name': 'Yahoo News', 'title': 'suggested', 'url': 'https://news.yahoo.com/top-house-democrat-open-lower-203606005.html'}, {'cred': 'HIGH', 'hostname': 'bloomberg.com', 'bias': 'LEAN_LEFT', 'name': 'Bloomberg News', 'title': 'said', 'url': 'https://www.bloomberg.com/news/articles/2022-01-27/key-house-democrat-floats-lowering-child-tax-credit-income-cap'}, {'cred': 'HIGH', 'hostname': 'bloomberg.com', 'bias': 'LEAN_LEFT', 'name': 'Bloomberg News', 'title': 'kick-start', 'url': 'https://www.bloomberg.com/news/articles/2022-01-27/jayapal-prods-senate-to-act-on-biden-plan-by-state-of-union'}, {'cred': 'HIGH', 'hostname': 'politico.com', 'bias': 'LEAN_LEFT', 'name': 'Politico', 'title': 'renewed push', 'url': 'https://www.politico.com/f/?id=0000017e-ae4b-d40d-a3ff-bfdb12410000&nname=playbook&nid=0000014f-1646-d88f-a1cf-5f46b7bd0000&nrid=0000014e-f10f-dd93-ad7f-f90f7c820004&nlid=630318'}, {'cred': None, 'hostname': 'protectourcare.org', 'bias': None, 'name': 'protectourcare.org', 'title': 'commissioned\xa0polls', 'url': 'https://www.protectourcare.org/new-polls-in-arizona-and-west-virginia-show-voters-want-swift-action-on-build-back-better-plans-to-lower-health-care-and-prescription-costs-and-expand-medicaid/'}, {'cred': 'MIXED', 'hostname': 'dailykos.com', 'bias': 'LEFT', 'name': 'Daily Kos', 'title': 'sentiments', 'url': 'https://www.dailykos.com/stories/2021/12/20/2070234/-Fallout-from-Manchin-s-Fox-News-announcement-spreads-but-get-a-load-of-his-private-reasoning'}, {'cred': 'HIGH', 'hostname': 'politico.com', 'bias': 'LEAN_LEFT', 'name': 'Politico', 'title': 'supportive', 'url': 'https://www.politico.com/news/2022/01/27/schumer-electoral-count-act-group-breathing-room-00002585'}], 'self_citations': ['https://www.dailykos.com/stories/2021/12/20/2070234/-Fallout-from-Manchin-s-Fox-News-announcement-spreads-but-get-a-load-of-his-private-reasoning'], 'unique_sources': ['The Hill', 'Politico', 'NBC News', 'Yahoo News', 'Bloomberg News', 'protectourcare.org', 'Daily Kos'], 'overall_quality': 'medium', 'opinion_score': 0.27, 'multiple_sources': True}, 'read_time': 7, 'authors': [], 'authors_data': [], 'url': 'https://www.dailykos.com/stories/2022/1/31/2077782/-congress-has-a-lot-to-do-in-the-next-month-and-republicans-won-t-make-any-of-it-easy', 'story_id': 10573351, 'title': 'Republicans’ plot to make Biden’s second year hell starts now, Manchin and Sinema help them', 'score': 58}"
https://www.dailykos.com/stories/2022/1/31/2077762/-texas-attorney-general-sues-to-stop-program-allowing-central-american-kids-to-reunite-with-families,dailykos.com,LEFT,MIXED,50,see score,10573354,"{'site_meta': {'name': 'Daily Kos', 'cred': 'MIXED', 'bias': 'LEFT'}, 'quality': {'quality_sources_score': 0.7142857142857143, 'unique_link_score': 1, 'self_promotion_score': 0, 'diversity_sources_score': 0.8, 'political_sources_score': 0, 'quotes_count': 6, 'quotes_score': 1, 'sources_score': 0.75, 'topic': 'politics', 'source_credibility_score': 0.5, 'author_history_score': 0, 'unique_links': [{'cred': 'HIGH', 'hostname': 'texastribune.org', 'bias': 'CENTER', 'name': 'Texas Tribune', 'title': 'very corrupt', 'url': 'https://www.texastribune.org/2021/08/24/texas-attorney-general-ken-paxton-bribery-report/'}, {'cred': 'HIGH', 'hostname': 'texastribune.org', 'bias': 'CENTER', 'name': 'Texas Tribune', 'title': 'he has\xa0filed a lawsuit\xa0seeking to block', 'url': 'https://www.texastribune.org/2022/01/28/texas-paxton-lawuit-biden-immigration/'}, {'cred': 'MIXED', 'hostname': 'dailykos.com', 'bias': 'LEFT', 'name': 'Daily Kos', 'title': 'fascist', 'url': 'https://www.dailykos.com/stories/2022/1/31/2077750/-Trump-claims-Pence-did-have-the-right-to-change-the-outcome-of-the-2020-election'}, {'cred': 'MIXED', 'hostname': 'dailykos.com', 'bias': 'LEFT', 'name': 'Daily Kos', 'title': 'announced earlier this year', 'url': 'https://www.dailykos.com/stories/2021/3/11/2020553/-Biden-reinstates-Obama-era-program-that-allowed-Central-American-kids-to-join-parents-in-U-S'}, {'cred': 'HIGH', 'hostname': 'houstonchronicle.com', 'bias': 'LEAN_LEFT', 'name': 'Houston Chronicle', 'title': 'reports', 'url': 'https://www.houstonchronicle.com/politics/texas/article/Paxton-state-AGs-sue-Biden-over-policy-that-16813960.php'}, {'cred': 'MIXED', 'hostname': 'dailykos.com', 'bias': 'LEFT', 'name': 'Daily Kos', 'title': 'successfully blocked', 'url': 'https://www.dailykos.com/stories/2021/1/26/2012047/-Judge-temporarily-halts-Biden-s-deportation-moratorium-following-lawsuit-from-corrupt-Texas-AG'}, {'cred': None, 'hostname': 'medium.com', 'bias': None, 'name': 'medium.com', 'title': 'wrote', 'url': 'https://medium.com/@DavidLeopold/the-anti-immigrant-judicial-pipeline-is-gushing-and-theres-only-one-way-to-stop-it-b03b9159fbb8'}, {'cred': 'MIXED', 'hostname': 'dailykos.com', 'bias': 'LEFT', 'name': 'Daily Kos', 'title': 'wrote', 'url': 'https://www.dailykos.com/stories/2021/12/8/2068091/-Thanks-for-the-report-Now-expand-the-Supreme-Court'}], 'self_citations': ['https://www.dailykos.com/stories/2022/1/31/2077750/-Trump-claims-Pence-did-have-the-right-to-change-the-outcome-of-the-2020-election', 'https://www.dailykos.com/stories/2021/3/11/2020553/-Biden-reinstates-Obama-era-program-that-allowed-Central-American-kids-to-join-parents-in-U-S', 'https://www.dailykos.com/stories/2021/1/26/2012047/-Judge-temporarily-halts-Biden-s-deportation-moratorium-following-lawsuit-from-corrupt-Texas-AG', 'https://www.dailykos.com/stories/2021/12/8/2068091/-Thanks-for-the-report-Now-expand-the-Supreme-Court'], 'unique_sources': ['Texas Tribune', 'Daily Kos', 'Houston Chronicle', 'medium.com'], 'overall_quality': 'medium', 'opinion_score': 0.06, 'multiple_sources': True}, 'read_time': 3, 'authors': [], 'authors_data': [], 'url': 'https://www.dailykos.com/stories/2022/1/31/2077762/-texas-attorney-general-sues-to-stop-program-allowing-central-american-kids-to-reunite-with-families', 'story_id': 10573354, 'title': ""Texas attorney general's latest lawsuit shows how Republicans don't want any immigrants here, period"", 'score': 50}"
https://www.foxnews.com/us/arizona-firefighters-rescue-trapped-car-crashed-canal,foxnews.com,RIGHT,MIXED,,"""Story is too short to be rated (< 250 words).""",,"{'site_meta': {'name': 'Fox News', 'cred': 'MIXED', 'bias': 'RIGHT'}, 'quality': {'error': '""Story is too short to be rated (< 250 words).""'}, 'read_time': 0, 'authors': [], 'authors_data': [], 'url': 'https://www.foxnews.com/us/arizona-firefighters-rescue-trapped-car-crashed-canal'}"
https://www.npr.org/2022/01/28/1076546117/5g-cleared-for-takeoff-near-more-airports-but-some-regional-jets-might-be-ground,npr.org,LEAN_LEFT,HIGH,67,see score,10566797,"{'site_meta': {'name': 'NPR', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.125, 'self_promotion_score': 0, 'diversity_sources_score': 0.2, 'political_sources_score': 0, 'quotes_count': 13, 'quotes_score': 1, 'sources_score': 0.525, 'topic': 'business', 'source_credibility_score': 0.8, 'author_history_score': 0.71, 'unique_links': [{'cred': 'HIGH', 'hostname': 'npr.org', 'bias': 'LEAN_LEFT', 'name': 'NPR', 'title': 'severe winter storms', 'url': 'https://www.npr.org/2022/01/28/1076368348/winter-storm-blizzard-northeast'}], 'self_citations': ['https://www.npr.org/2022/01/28/1076368348/winter-storm-blizzard-northeast'], 'unique_sources': ['NPR'], 'overall_quality': 'medium', 'author_expertise': 'business, health', 'opinion_score': 0.69, 'multiple_sources': True}, 'read_time': 6, 'authors': ['David Schaper'], 'authors_data': [{'name': 'David Schaper', 'twitter_handle': 'davidschaperNPR', 'score': 61, 'image_url': 'https://forum.cvko.co/twt/profilepic?handle=davidschaperNPR'}], 'url': 'https://www.npr.org/2022/01/28/1076546117/5g-cleared-for-takeoff-near-more-airports-but-some-regional-jets-might-be-ground', 'story_id': 10566797, 'title': '5G cleared for takeoff near more airports, but some regional jets might be grounded', 'score': 67}"
https://www.washingtonpost.com/world/2022/01/30/murano-glass-gas-crisis/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,washingtonpost.com,LEAN_LEFT,HIGH,70,see score,10569646,"{'site_meta': {'name': 'Washington Post', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.625, 'self_promotion_score': 0, 'diversity_sources_score': 0.6, 'political_sources_score': 0, 'quotes_count': 12, 'quotes_score': 1, 'sources_score': 0.725, 'topic': 'world', 'source_credibility_score': 0.8, 'author_history_score': 0.75, 'unique_links': [{'cred': None, 'hostname': 'carnegieeurope.eu', 'bias': None, 'name': 'carnegieeurope.eu', 'title': 'combination of factors', 'url': 'https://carnegieeurope.eu/strategiceurope/85668'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'Kremlin threatening to cut off flows', 'url': 'https://www.washingtonpost.com/climate-environment/2022/01/25/ukraine-russia-natural-gas-sanctions/?itid=lk_inline_manual_7'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'flooding in 2019', 'url': 'https://www.washingtonpost.com/world/europe/venice-partly-submerged-by-highest-tides-in-half-a-century/2019/11/13/fa36566e-05fa-11ea-8292-c46ee8cb3dce_story.html?itid=lk_inline_manual_9'}, {'cred': None, 'hostname': 'regione.veneto.it', 'bias': None, 'name': 'regione.veneto.it', 'title': 'subsidies', 'url': 'https://www.regione.veneto.it/article-detail?articleId=12703075'}, {'cred': 'HIGH', 'hostname': 'washingtonpost.com', 'bias': 'LEAN_LEFT', 'name': 'Washington Post', 'title': 'Smithsonian’s current “Sargent, Whistler and Venetian Glass” exhibit', 'url': 'https://www.washingtonpost.com/goingoutguide/museums/smithsonian-glass-review/2021/11/10/f119f6e0-3f2c-11ec-bfad-8283439871ec_story.html?itid=lk_inline_manual_12'}], 'self_citations': ['https://www.washingtonpost.com/climate-environment/2022/01/25/ukraine-russia-natural-gas-sanctions/?itid=lk_inline_manual_7', 'https://www.washingtonpost.com/world/europe/venice-partly-submerged-by-highest-tides-in-half-a-century/2019/11/13/fa36566e-05fa-11ea-8292-c46ee8cb3dce_story.html?itid=lk_inline_manual_9', 'https://www.washingtonpost.com/goingoutguide/museums/smithsonian-glass-review/2021/11/10/f119f6e0-3f2c-11ec-bfad-8283439871ec_story.html?itid=lk_inline_manual_12'], 'unique_sources': ['carnegieeurope.eu', 'Washington Post', 'regione.veneto.it'], 'overall_quality': 'medium', 'author_expertise': 'world', 'opinion_score': 0.38, 'multiple_sources': False}, 'read_time': 6, 'authors': ['Stefano Pitrelli'], 'authors_data': [{'name': 'Stefano Pitrelli', 'twitter_handle': None, 'score': 67, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.washingtonpost.com/world/2022/01/30/murano-glass-gas-crisis/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'story_id': 10569646, 'title': 'After eight centuries of Murano glassmaking, a gas crisis is threatening its future', 'score': 70}"
