url,score,response
https://www.nytimes.com/2022/01/31/sports/alberto-salazar-sexual-assault.html,,"{'col3': ['https://www.nytimes.com/2022/01/31/sports/alberto-salazar-sexual-assault.html'], 'col2': {'abc': 'https://www.nytimes.com/2022/01/31/sports/alberto-salazar-sexual-assault.html', 'cde': 'https://www.nytimes.com/2022/01/31/sports/alberto-salazar-sexual-assault.html'}}"
https://www.nytimes.com/2022/01/30/opinion/supreme-court-nomination-identity-politics.html,,"{'col3': ['https://www.nytimes.com/2022/01/30/opinion/supreme-court-nomination-identity-politics.html'], 'col2': {'abc': 'https://www.nytimes.com/2022/01/30/opinion/supreme-court-nomination-identity-politics.html', 'cde': 'https://www.nytimes.com/2022/01/30/opinion/supreme-court-nomination-identity-politics.html'}}"
https://www.washingtonpost.com/world/2022/01/31/belgium-disconnect-government-workers/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,,"{'col3': ['https://www.washingtonpost.com/world/2022/01/31/belgium-disconnect-government-workers/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/31/belgium-disconnect-government-workers/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/31/belgium-disconnect-government-workers/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}"
https://www.washingtonpost.com/world/2022/01/30/irish-fishermen-russia-naval-exercises/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,,"{'col3': ['https://www.washingtonpost.com/world/2022/01/30/irish-fishermen-russia-naval-exercises/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/30/irish-fishermen-russia-naval-exercises/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/30/irish-fishermen-russia-naval-exercises/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}"
https://www.washingtonpost.com/world/2022/01/29/mattarella-italy-president/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,,"{'col3': ['https://www.washingtonpost.com/world/2022/01/29/mattarella-italy-president/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/29/mattarella-italy-president/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/29/mattarella-italy-president/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}"
https://www.reutersagency.com/en/reuters-best/reuters-ahead-with-first-out-of-cycle-move-by-singapore-central-bank/,,"{'col3': ['https://www.reutersagency.com/en/reuters-best/reuters-ahead-with-first-out-of-cycle-move-by-singapore-central-bank/'], 'col2': {'abc': 'https://www.reutersagency.com/en/reuters-best/reuters-ahead-with-first-out-of-cycle-move-by-singapore-central-bank/', 'cde': 'https://www.reutersagency.com/en/reuters-best/reuters-ahead-with-first-out-of-cycle-move-by-singapore-central-bank/'}}"
https://apnews.com/article/boris-johnson-partygate-report-0cc714677ec8f8450568c872b12a9bdc,,"{'col3': ['https://apnews.com/article/boris-johnson-partygate-report-0cc714677ec8f8450568c872b12a9bdc'], 'col2': {'abc': 'https://apnews.com/article/boris-johnson-partygate-report-0cc714677ec8f8450568c872b12a9bdc', 'cde': 'https://apnews.com/article/boris-johnson-partygate-report-0cc714677ec8f8450568c872b12a9bdc'}}"
https://apnews.com/article/travel-dubai-united-arab-emirates-air-travel-yemen-1e103b0a537aa69eab242ddc9db41799,,"{'col3': ['https://apnews.com/article/travel-dubai-united-arab-emirates-air-travel-yemen-1e103b0a537aa69eab242ddc9db41799'], 'col2': {'abc': 'https://apnews.com/article/travel-dubai-united-arab-emirates-air-travel-yemen-1e103b0a537aa69eab242ddc9db41799', 'cde': 'https://apnews.com/article/travel-dubai-united-arab-emirates-air-travel-yemen-1e103b0a537aa69eab242ddc9db41799'}}"
https://www.breitbart.com/europe/2022/01/31/im-sorry-boris-contrite-in-face-of-partygate-report-but-comes-out-swinging-for-starmer/,,"{'col3': ['https://www.breitbart.com/europe/2022/01/31/im-sorry-boris-contrite-in-face-of-partygate-report-but-comes-out-swinging-for-starmer/'], 'col2': {'abc': 'https://www.breitbart.com/europe/2022/01/31/im-sorry-boris-contrite-in-face-of-partygate-report-but-comes-out-swinging-for-starmer/', 'cde': 'https://www.breitbart.com/europe/2022/01/31/im-sorry-boris-contrite-in-face-of-partygate-report-but-comes-out-swinging-for-starmer/'}}"
https://www.dailykos.com/stories/2022/1/31/2077787/-Let-s-call-it-exactly-what-it-is-enabling-evil,,"{'col3': ['https://www.dailykos.com/stories/2022/1/31/2077787/-Let-s-call-it-exactly-what-it-is-enabling-evil'], 'col2': {'abc': 'https://www.dailykos.com/stories/2022/1/31/2077787/-Let-s-call-it-exactly-what-it-is-enabling-evil', 'cde': 'https://www.dailykos.com/stories/2022/1/31/2077787/-Let-s-call-it-exactly-what-it-is-enabling-evil'}}"
