url,domain,bias,cred,score,quality,story_id,response
https://www.oann.com/rep-greene-biden-needs-to-focus-on-character-and-career-when-choosing-new-justice/?utm_source=rss&utm_medium=rss&utm_campaign=rep-greene-biden-needs-to-focus-on-character-and-career-when-choosing-new-justice,oann.com,RIGHT,MIXED,,"""Story is too short to be rated (< 250 words).""",,"{'site_meta': {'name': 'One America News Network', 'cred': 'MIXED', 'bias': 'RIGHT'}, 'quality': {'error': '""Story is too short to be rated (< 250 words).""'}, 'read_time': 0, 'authors': [], 'authors_data': [], 'url': 'https://www.oann.com/rep-greene-biden-needs-to-focus-on-character-and-career-when-choosing-new-justice/?utm_source=rss&utm_medium=rss&utm_campaign=rep-greene-biden-needs-to-focus-on-character-and-career-when-choosing-new-justice'}"
https://www.nytimes.com/2022/01/31/opinion/supreme-court-justice.html,nytimes.com,LEAN_LEFT,HIGH,63,see score,10571551,"{'site_meta': {'name': 'New York Times', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 1, 'self_promotion_score': 0, 'diversity_sources_score': 0.2, 'political_sources_score': 0, 'quotes_count': 4, 'quotes_score': 1, 'sources_score': 0.7000000000000001, 'topic': 'politics', 'source_credibility_score': 0.8, 'author_history_score': 0.73, 'unique_links': [{'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'Democrats a fighting chance in 2022', 'url': 'https://www.nytimes.com/2021/11/08/opinion/biden-democrats-2022-2024.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'It’s been the Republican Party', 'url': 'https://www.nytimes.com/2021/12/18/opinion/trump-republicans-2022-midterms.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'speaks to David Shor', 'url': 'https://www.nytimes.com/2021/10/08/opinion/democrats-david-shor-education-polarization.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'es two primary contests', 'url': 'https://www.nytimes.com/2021/12/12/opinion/elections-republicans-2022.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'as the liberal political scientist Ruy Teixeira calls it', 'url': 'https://www.nytimes.com/2022/01/25/us/politics/ruy-teixeira-democrats.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'your call', 'url': 'https://www.nytimes.com/2022/01/24/opinion/joe-biden-2024.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'an extraordinarily moving column', 'url': 'https://www.nytimes.com/2022/01/29/opinion/jason-rivera-police-dead.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'write a column', 'url': 'https://www.nytimes.com/2022/01/01/opinion/trigger-warning-its-my-brothers-turn-again.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'she doesn’t also give him a salary', 'url': 'https://www.nytimes.com/2022/01/27/nyregion/eric-adams-brother-bernard.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'very effectively', 'url': 'https://www.nytimes.com/2020/06/15/nyregion/nypd-plainclothes-cops.html'}, {'cred': 'HIGH', 'hostname': 'nytimes.com', 'bias': 'LEAN_LEFT', 'name': 'New York Times', 'title': 'Second Amendment repeal', 'url': 'https://www.nytimes.com/2017/10/05/opinion/guns-second-amendment-nra.html'}], 'self_citations': ['https://www.nytimes.com/2021/11/08/opinion/biden-democrats-2022-2024.html', 'https://www.nytimes.com/2021/12/18/opinion/trump-republicans-2022-midterms.html', 'https://www.nytimes.com/2021/10/08/opinion/democrats-david-shor-education-polarization.html', 'https://www.nytimes.com/2021/12/12/opinion/elections-republicans-2022.html', 'https://www.nytimes.com/2022/01/25/us/politics/ruy-teixeira-democrats.html', 'https://www.nytimes.com/2022/01/24/opinion/joe-biden-2024.html', 'https://www.nytimes.com/2022/01/29/opinion/jason-rivera-police-dead.html', 'https://www.nytimes.com/2022/01/01/opinion/trigger-warning-its-my-brothers-turn-again.html', 'https://www.nytimes.com/2022/01/27/nyregion/eric-adams-brother-bernard.html', 'https://www.nytimes.com/2020/06/15/nyregion/nypd-plainclothes-cops.html', 'https://www.nytimes.com/2017/10/05/opinion/guns-second-amendment-nra.html'], 'unique_sources': ['New York Times'], 'overall_quality': 'medium', 'author_expertise': 'politics', 'opinion_score': 0.01, 'multiple_sources': False}, 'read_time': 7, 'authors': ['Bret Stephens', 'Gail Collins'], 'authors_data': [{'name': 'Bret Stephens', 'twitter_handle': 'BretStephensNYT', 'score': 65, 'image_url': 'https://forum.cvko.co/twt/profilepic?handle=BretStephensNYT'}, {'name': 'Gail Collins', 'twitter_handle': 'gailcollins', 'score': 63, 'image_url': 'https://forum.cvko.co/twt/profilepic?handle=gailcollins'}], 'url': 'https://www.nytimes.com/2022/01/31/opinion/supreme-court-justice.html', 'story_id': 10571551, 'title': 'Nothing’s More Fun Than Picking the Next Supreme Court Justice. Right?', 'score': 63}"
https://www.dailykos.com/stories/2022/1/30/2077664/-news-roundup-trump-promises-pardons-for-jan-6-seditionists-spotify-s-disinformation-problem,dailykos.com,LEFT,MIXED,,Story is too short to be rated (< 250 words).,,"{'site_meta': {'name': 'Daily Kos', 'cred': 'MIXED', 'bias': 'LEFT'}, 'quality': {'error': 'Story is too short to be rated (< 250 words).'}, 'read_time': 0, 'authors': [], 'authors_data': [], 'url': 'https://www.dailykos.com/stories/2022/1/30/2077664/-news-roundup-trump-promises-pardons-for-jan-6-seditionists-spotify-s-disinformation-problem'}"
https://www.npr.org/2022/01/26/1075741090/what-its-like-in-ukraine-under-threat-of-a-russian-invasion,npr.org,LEAN_LEFT,HIGH,,"""Story is too short to be rated (< 250 words).""",,"{'site_meta': {'name': 'NPR', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'error': '""Story is too short to be rated (< 250 words).""'}, 'read_time': 0, 'authors': [], 'authors_data': [], 'url': 'https://www.npr.org/2022/01/26/1075741090/what-its-like-in-ukraine-under-threat-of-a-russian-invasion'}"
https://apnews.com/article/travel-dubai-united-arab-emirates-air-travel-yemen-1e103b0a537aa69eab242ddc9db41799,apnews.com,CENTER,VERY_HIGH,62,see score,10571523,"{'site_meta': {'name': 'Associated Press', 'cred': 'VERY_HIGH', 'bias': 'CENTER'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.875, 'self_promotion_score': 0, 'diversity_sources_score': 0.2, 'political_sources_score': 0, 'quotes_count': 9, 'quotes_score': 1, 'sources_score': 0.675, 'topic': 'culture', 'source_credibility_score': 1, 'author_history_score': 0.48, 'unique_links': [{'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'the wider Persian Gulf, which has seen a series of attacks', 'url': 'https://apnews.com/article/donald-trump-israel-iran-iran-nuclear-united-arab-emirates-9835ba4644959e9cb4584ca999f49002'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'The country’s top prosecutor has threatened that people who film or post images of such an incident would face criminal charges in the UAE', 'url': 'https://apnews.com/article/middle-east-media-social-media-dubai-united-arab-emirates-d24cc4331e2a6164cef0464ed815b1e8'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'for the first official visit by an Israeli head of state', 'url': 'https://apnews.com/article/middle-east-israel-dubai-united-arab-emirates-abu-dhabi-6e72a5350e67cbe02c48a4c6ca751169'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'Israeli Prime Minister Naftali Bennett in December made his first official visit to the UAE and', 'url': 'https://apnews.com/article/middle-east-iran-israel-naftali-bennett-8331fe0f908d7b3a7ddd0f865fa851bf'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'a similar attack saw both Emirati and U.S. forces fire interceptor missiles', 'url': 'https://apnews.com/article/middle-east-media-dubai-united-arab-emirates-abu-dhabi-a507ac70e7d4739afd535f0f9477e7fc'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'a Houthi drone-and-missile attack struck an Abu Dhabi National Oil Co. fuel depot', 'url': 'https://apnews.com/article/business-dubai-united-arab-emirates-only-on-ap-abu-dhabi-4a72597046dab910fbcbc1634bfa05b1'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'the Saudi coalition strike a prison and kill some 90 people', 'url': 'https://apnews.com/article/technology-business-middle-east-sanaa-dubai-cfad87600e2c93ab9af22dc80ba27875'}], 'self_citations': ['https://apnews.com/article/donald-trump-israel-iran-iran-nuclear-united-arab-emirates-9835ba4644959e9cb4584ca999f49002', 'https://apnews.com/article/middle-east-media-social-media-dubai-united-arab-emirates-d24cc4331e2a6164cef0464ed815b1e8', 'https://apnews.com/article/middle-east-israel-dubai-united-arab-emirates-abu-dhabi-6e72a5350e67cbe02c48a4c6ca751169', 'https://apnews.com/article/middle-east-iran-israel-naftali-bennett-8331fe0f908d7b3a7ddd0f865fa851bf', 'https://apnews.com/article/middle-east-media-dubai-united-arab-emirates-abu-dhabi-a507ac70e7d4739afd535f0f9477e7fc', 'https://apnews.com/article/business-dubai-united-arab-emirates-only-on-ap-abu-dhabi-4a72597046dab910fbcbc1634bfa05b1', 'https://apnews.com/article/technology-business-middle-east-sanaa-dubai-cfad87600e2c93ab9af22dc80ba27875'], 'unique_sources': ['Associated Press'], 'overall_quality': 'medium', 'author_expertise': 'world', 'opinion_score': 0.06, 'multiple_sources': False}, 'read_time': 5, 'authors': ['Jon Gambrell'], 'authors_data': [{'name': 'Jon Gambrell', 'twitter_handle': None, 'score': 64, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://apnews.com/article/travel-dubai-united-arab-emirates-air-travel-yemen-1e103b0a537aa69eab242ddc9db41799', 'story_id': 10571523, 'title': 'UAE intercepts Yemen missile as Israeli president visits', 'score': 62}"
https://www.reuters.com/world/middle-east/israeli-police-admits-spyware-use-raises-legal-questions-2022-02-01/,reuters.com,CENTER,VERY_HIGH,55,see score,10577273,"{'site_meta': {'name': 'Reuters', 'cred': 'VERY_HIGH', 'bias': 'CENTER'}, 'quality': {'quality_sources_score': 0, 'unique_link_score': 0.125, 'self_promotion_score': 1, 'diversity_sources_score': 0.2, 'political_sources_score': 0, 'quotes_count': 1, 'quotes_score': 0, 'sources_score': 0.175, 'topic': 'politics', 'source_credibility_score': 1, 'author_history_score': 0, 'unique_links': [{'cred': None, 'hostname': 'thomsonreuters.com', 'bias': None, 'name': 'thomsonreuters.com', 'title': 'The Thomson Reuters Trust Principles.', 'url': 'https://www.thomsonreuters.com/en/about-us/trust-principles.html'}], 'self_citations': [], 'unique_sources': ['thomsonreuters.com'], 'overall_quality': 'medium', 'opinion_score': 1, 'multiple_sources': False}, 'read_time': 2, 'authors': [], 'authors_data': [], 'url': 'https://www.reuters.com/world/middle-east/israeli-police-admits-spyware-use-raises-legal-questions-2022-02-01', 'story_id': 10577273, 'title': 'Israeli police admits spyware use raises legal questions', 'score': 55}"
https://www.washingtonpost.com/world/2022/01/31/charlotte-bellis-afghanistan-new-zealand-covid/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,washingtonpost.com,LEAN_LEFT,HIGH,82,see score,10572822,"{'site_meta': {'name': 'Washington Post', 'cred': 'HIGH', 'bias': 'LEAN_LEFT'}, 'quality': {'quality_sources_score': 1, 'unique_link_score': 0.75, 'self_promotion_score': 1, 'diversity_sources_score': 1, 'political_sources_score': 0, 'quotes_count': 14, 'quotes_score': 1, 'sources_score': 0.95, 'topic': 'world', 'source_credibility_score': 0.8, 'author_history_score': 0.84, 'unique_links': [{'cred': None, 'hostname': 'groundedkiwis.com', 'bias': None, 'name': 'groundedkiwis.com', 'title': 'advocates say are', 'url': 'https://www.groundedkiwis.com/'}, {'cred': 'HIGH', 'hostname': 'nzherald.co.nz', 'bias': 'CENTER', 'name': 'New Zealand Herald', 'title': 'column', 'url': 'https://www.nzherald.co.nz/nz/covid-19-omicron-charlotte-bellis-an-open-letter-on-miq/U4WQGYTJHUP36AGVOBN3F6PJSE/'}, {'cred': 'VERY_HIGH', 'hostname': 'apnews.com', 'bias': 'CENTER', 'name': 'Associated Press', 'title': 'and said', 'url': 'https://apnews.com/article/afghanistan-coronavirus-pandemic-health-new-zealand-europe-f5901558e4665c0054eb8db818e82e8d'}, {'cred': None, 'hostname': 'pulitzercenter.org', 'bias': None, 'name': 'pulitzercenter.org', 'title': 'illegal to be pregnant and unmarried', 'url': 'https://pulitzercenter.org/stories/boyfriend-system-migrant-life-qatar#:~:text=In%20Qatar%2C%20zina%20laws%20criminalize,of%20up%20to%20one%20year.'}, {'cred': 'HIGH', 'hostname': 'bloomberg.com', 'bias': 'LEAN_LEFT', 'name': 'Bloomberg News', 'title': 'borders reopening', 'url': 'https://www.bloomberg.com/news/articles/2022-01-25/new-zealand-to-proceed-with-phased-border-reopening-in-february'}, {'cred': 'HIGH', 'hostname': 'theguardian.com', 'bias': 'LEAN_LEFT', 'name': 'The Guardian', 'title': 'stressed', 'url': 'https://www.theguardian.com/world/2022/jan/31/charlotte-bellis-new-zealand-defends-miq-strict-quarantine-pregnant-journalist-help-taliban'}], 'self_citations': [], 'unique_sources': ['groundedkiwis.com', 'New Zealand Herald', 'Associated Press', 'pulitzercenter.org', 'Bloomberg News', 'The Guardian'], 'overall_quality': 'high', 'author_expertise': 'health, world', 'opinion_score': 0.49, 'multiple_sources': True}, 'read_time': 4, 'authors': ['Annabelle Timsit'], 'authors_data': [{'name': 'Annabelle Timsit', 'twitter_handle': None, 'score': 78, 'image_url': 'https://s3.amazonaws.com/www.owlfactor.com/assets/img/Pic_Author_Placeholder.svg'}], 'url': 'https://www.washingtonpost.com/world/2022/01/31/charlotte-bellis-afghanistan-new-zealand-covid/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'story_id': 10572822, 'title': 'A pregnant New Zealand journalist says strict covid rules left her stranded in Taliban-ruled Afghanistan', 'score': 82}"
